,category,question,answer
0,general_knowledge,The Norse god of light & peace,Balder
1,general_knowledge,What was the first day of the Roman month called,The calends
2,general_knowledge,What is the unit of currency in Laos?,Kip
3,general_knowledge,5:45 pm In military time is how many hours,1745
4,general_knowledge,In what sport are bacon hamburgers chips prunes spuds terms,Mountain Biking injury / damage
5,entertainment_film,Who was Barney Rubble's best friend?,Fred Flintstone
6,general_knowledge,Alfred Schneider became famous as who,Lenny Bruce
7,general_knowledge,Burn to stop the flow of blood,Cauterize
8,entertainment_film,"Who did a version of 'One Bourbon, One Scotch, One Beer' on his 1977 debut album?",George Thorogood
9,geography,The United States would fit into the continent of ____________ three and a half times.,Africa
10,general_knowledge,What links Ada - Lisp - Algol,Program Languages
11,geography,The Ionian and Cyclades are island groups of which country?,Greece
12,celebrities,What Was William Bonney Better Known As ,Billy The Kid 
13,geography,What Is The Most Westerly European Capital City ,"Lisbon In Portugal / Reykjavic In Iceland, It's Complex But I Think Iceland Has It You Decide "
14,general_knowledge,Melita in the Bible where Paul was shipwrecked is where today,Malta
15,general_knowledge,Remove forcibly or exile to another country,Deport
16,general_knowledge,The seventeen year locust is also know as a _____,Cicada
17,general_knowledge,The Chinese year cycle starts with 1st to ask Buddha which,Rat
18,general_knowledge,Countess Roza Marie Lubienski Is More Commonly Known As Who,Rula Lenska
19,general_knowledge,"Name the variety of brassica , whose thickened stem, resembling a turnip, is eaten as a vegetable",Kohlrabi
20,general_knowledge,Which is the smallest independent country,Vatican city
21,geography,What is the capital of Croatia? ,Zagreb 
22,entertainment_film,"This 1974 film started a run of nostalgia culminating in the TV series ""Happy Days"".",American Graffiti
23,mythology,To where do Muslims make pilgrimage?,Mecca
24,general_knowledge,"Who wrote the book ""Darker Than Amber""",John macdonald
25,general_knowledge,At The Oscars Ceremony In March 2002 Which Film Won The Award For Best Picture,A Beautiful Mind
26,history,Who rode naked through the streets of Coventry,Lady godiva
27,sports,Who won the Bahrain Grand Prix at weekend? ,Fernando Alonso 
28,general_knowledge,Which Flemish painter produced Adoration of the Kings,Brueghel
29,general_knowledge,In what Dickens novel does Alfred Jingle appear,The Pickwick Papers
30,general_knowledge,What is the Capital of: Cayman Islands,George town
31,general_knowledge,When do diurnal animals sleep,Night time
32,general_knowledge,What is a gondola?,Water taxi
33,entertainment_music,Whose real name is Annie Mae Bullock,Tina Turner
34,general_knowledge,Oneirophobia is the fear of,Dreams
35,general_knowledge,"The Lost Island Of ""Naboombu"" Features In Which Disney Movie",Bedknobs & Broomsticks
36,general_knowledge,Who won the woman's 400 m hurdles in the 1992 olympics,Sally gunnell
37,general_knowledge,What fruits are sorted for ripeness by bouncing them,Cranberries
38,general_knowledge,What does a myrmecologist study,Ants
39,general_knowledge,Kuala lumpur is the capital of ______,Malaysia
40,general_knowledge,Allium cepa - one of the lilicaea - world most used food item,Onion
41,general_knowledge,In what movie did Sinatra sing My Kind of Town,Robin and the 7 Hoods
42,general_knowledge,In 1984 Challenger astronauts complete 1st in space satellite,Repair
43,general_knowledge,"There were three Kings of England in 1066. Harold and William, of course, and who else",Edward the confessor
44,general_knowledge,What is a group of trout,Hover
45,general_knowledge,What is the Capital of: Romania,Bucharest
46,general_knowledge,The word rodent comes from the Latin rodere meaning what,To Gnaw
47,general_knowledge,"On 'the lucy show', who played vivian bagley",Vivian vance
48,general_knowledge,What country had Europe's fastest economic growth rate in 1988,Spain
49,general_knowledge,George Hoy-Booth became famous as who,George Formby
50,general_knowledge,"From which Marx Brothers film comes the line 'Either he's dead, or my watch has stopped",A day at the races
51,general_knowledge,Caterpillar comes from the old French what's it literally mean,Hairy Cat
52,general_knowledge,What was the first film directed by robert redford,Ordinary people
53,general_knowledge,What song gave a 9 year old US a UK No 1 lots weeks 1972/73,Long haired lover from Liverpool
54,general_knowledge,Allium Sativum is better known as what,Garlic
55,general_knowledge,Who was kidnapped in Robert Louis Stevenson's Kidnapped,David Balfour
56,general_knowledge,California Valley and a Chinese cabbage what word means both,Napa
57,general_knowledge,What is 'applejack',Fermented cider
58,general_knowledge,What short term is given to the leader of the Red Arrows aerobatic display team?,Red 1
59,geography,What are drumlins and eskers formed by,Glacier
60,general_knowledge,Alain Boublil and Claude-Michel Schonberg wrote which hit musical,Les miserables
61,art,How Many Holes Are There On A Traditional Artists Pallette? ,One 
62,general_knowledge,TAP is the national airline of which country,Portugal
63,general_knowledge,How many 'Air Force One'(s) are there?,Two
64,general_knowledge,Non dairy creamer is _________,Flammable
65,art,Who wrote the Belgariad ?,Leigh and David Eddings
66,general_knowledge,Who did the original thugs worship,The Goddess Kali
67,entertainment_music,Which Artists Recorded The Album The Original Soundtrack,10cc
68,general_knowledge,What word may be used to refer to a group of peacocks,Muster
69,history,What does ALF stand for? ,Alien Life Form 
70,history,After Much Legal Wrangling Who Became The Controller Of 'The News Of The World'' In 1969 ,Rupert Murdoch 
71,general_knowledge,In which film did Lee Marvin throw boiling coffee in Gloria Graham's face,The big heat
72,general_knowledge,How long is an elephant pregnant,2 years
73,general_knowledge,What is measured with an ombrometer,Rainfall
74,history,The song White Christmas was first performed in which 1942 film? ,Holiday Inn 
75,general_knowledge,Who wrote the play 'Rosencrantz and Guildenstein' are dead,Tom stoppard
76,general_knowledge,Where did Mathias Rust land his Cessna in 1987,Red Square Moscow
77,general_knowledge,Baseball: the san diego _______,Padres
78,sports,Basketball: The Los Angeles _________.,Lakers
79,general_knowledge,How many litres of water vapour can be lost in a large tree in an hour by transpiration,Three hundred
80,general_knowledge,The study of the manner in which organisms carry on their life processes is ________,Physiology
81,general_knowledge,What does 360 degrees make,Circle
82,general_knowledge,Name ship sunk by the submarine Conqueror Falklands War,General Belgrano
83,general_knowledge,Traditionally there are 100 pleats in what item,A Chefs hat
84,entertainment_film,From what platform does the 'Chattanooga Choo Choo' leave Pennsylvania station?,29
85,entertainment_music,Who introduced Paul McCartney to John Lennon?,Ivan Vaughn
86,general_knowledge,A fisherman in the Arral sea had his boat destroyed by what,A Cow - USA air force dumped it
87,general_knowledge,Pak man was called Paka in Japan what does paka mean,Eating
88,general_knowledge,Eunectes Murinus largest of its kind in South America - what,Annoconda
89,science_nature,What is the atomic number of sulphur?,16
90,general_knowledge,What species of fish is caught most,Anchovetta - Anchovy
91,general_knowledge,What were volitos first demonstrated in Soho London in 1823,Roller Skates
92,general_knowledge,In Hitchcock's film The Trouble with Harry - what was the trouble,He was dead
93,general_knowledge,"Music What is the narrow, inland sea, separating the Arabian peninsula, western Asia, from northeastern Africa",Red sea
94,general_knowledge,"In Gulliver's Travels, from what did the scientists seek to get sunshine",Cucumbers
95,general_knowledge,William Blake Winston Churchill John Lennon what links,Ordained Druids
96,science_nature, An extinct species of __________ had a head the size of a Shetland pony's and reached a height of more than ten feet.,Kangaroo
97,sports,Alex Hurricane Higgins & Jimmy The Whirlwind White But Whats Ronnie O Sullivans Nickname ,Ronnie The Rocket O Sullivan 
98,general_knowledge,Needlework of hooked yarn producing lacy patterned fabric,Crochet
99,science_nature,What is a male goose called,Gander
100,celebrities,Who Spent A Year In Prison For Sleeping With An Underage Girl ,Graham Rix 
101,general_knowledge,What is a Fata Morgana,Type of Mirage
102,history,Clement C. Moore wrote a very famous Christmas poem What was it called? ,Twas The Night Before Christmas 
103,general_knowledge,Who is on a u.s. bill,Benjamin franklin
104,general_knowledge,Which was the first 'james bond' novel,Casino royale
105,general_knowledge,What is studied in the science of somatology,The Body
106,general_knowledge,What is the last book of the Bible,Revelations
107,history,In Which Scary Movie Will You Find The Character Martin Brody ,Jaws 
108,general_knowledge,"Which European country has regions named Limburg, Drente and Brabant",Netherlands
109,general_knowledge,What does an animal have if it is a fish,Gills
110,food,What Eastern Fruit Comes In A Shell ,The Lychee 
111,general_knowledge,In which film based on a James Jones novel does Deborah Kerr embrace on the beach with Burt Lancaster,From here to eternity
112,general_knowledge,Officers how many british officers were forced by indian troops into the black hole of calcutta,146
113,general_knowledge,STDs are the most costly health problem in the USA what's 2nd,Dog Bites
114,entertainment_music,Which Country Are Bachman Turner Overdrive From,Canada
115,general_knowledge,What is the tenth letter of the Greek alphabet,Kappa
116,general_knowledge,What links Hong Kong Singapore Rio and Utopia,Road Films
117,geography,In which continent would you find the amur river ,Asia 
118,entertainment_music,Length of the longest Beatles track,"Revolution 9,'' from the White Album"
119,general_knowledge,What part of a horse would you look at to determine its age,Teeth
120,general_knowledge,Which Well Known Gangster Lives At “ 36 Cherry Blossom Close ”,Ali G
121,general_knowledge,What is the fear of home surroundings or house known as,Oikophobia
122,general_knowledge,Sorrowful song or poem,Elegy
123,celebrities,Who wrote the book 'The Guns Of Navarone'' ,Alistair McClaine 
124,general_knowledge,"What country controls access to the North Sea from the rivers Schelde, Meuse and Rhine",Netherlands
125,general_knowledge,"What was the name of the first ""portable"" computer?",Osbourne
126,food,What is the most widely eaten meat in the world? ,Pork 
127,science_nature,The molten material from a volcano is ________?,Lava
128,general_knowledge,What WasMichael Barymores Occupation Before He Found Fame As A TV Star,Hair Dresser
129,general_knowledge,Phineas Barnum opened his circus in what year,1871
130,general_knowledge,What is the next-to-next-to-last event,Antepenultimate
131,general_knowledge,"Which railway tunnel, 20 kilometres long, joining Isselle in Italy with Brig in Switzerland, is cut under Mount Leone in the Alps",Simplon tunnel
132,general_knowledge,What is the flower that stands for: consolation,Red poppy
133,sports,Can you name 2 British golfers to win the US Masters in the 1990's? ,Nick Faldo & Ian Woosnam 
134,history,Who succeeded Churchill when he resigned in 1955,Sir anthony eden
135,general_knowledge,Henri Charrier is better known by what nickname,Papillion – The Butterfly
136,general_knowledge,For whom was buckingham palace built,John sheffield
137,food,"Booze Name: 1 oz. gin, 1/2 oz. dry vermouth, 1/2 oz. sweet vermouth, 1/2 oz. orange juice",Bronx cocktail
138,general_knowledge,Leslie Sebastian Charles is better known as who,Billy Ocean
139,general_knowledge,What is the fear of the night known as,Noctiphobia
140,general_knowledge,"In the monty python parody 'search for the holy grail', what was arthur's trusty servant's name",Patsy
141,general_knowledge,"The original name for this Pontiac car was the Banshee, for its mythicality.",Firebird
142,general_knowledge,What would an Irishman do with his shone,Cut Peat
143,general_knowledge,In Which Country Is The Chernobyl Nuclear Power Plant That Had A Melt Down Causing Widespread Radioactive Fallout,"Ukraine, 1986"
144,art,Which Of Jane Austens Novels Was Publsihed Posthumously ,Persuasion 
145,food,What is the name for the liquid butter used in Indian cooking? ,Ghee 
146,general_knowledge,What U.S. state includes the telephone area code 701,North dakota
147,general_knowledge,"Which singer/songwriter won a Grammy in 1988 with 'Don't Worry, Be Happy'",Bobby mcferrin
148,general_knowledge,Who is the only American president elected unopposed,George Washington
149,general_knowledge,Al Alcorn wrote which famous computer program / game,Pong
150,general_knowledge,In what country is the Eucumbene Dam,Australia New S Wales
151,general_knowledge,What is the Roman numeral mcdxlii in decimal,1442
152,food,"Which drink made of hot milk curdled with ale, wine, etc. and often flavoured with spices, was formerly used as a cold remedy? ",Posset 
153,general_knowledge,Any type of machine that obtains mechanical energy directly from the expenditure of the chemical energy of fuel burned in a combustion chamber that is an integral part of the engine,Internal combustion
154,general_knowledge,"Who On TV Drove A Car With The Licence Plate ""CNH 320""",The Dukes Of Hazzard
155,general_knowledge,Haifa is a major seaport in which country,Israel
156,general_knowledge,How many elevators stopped at the bridge on Star Trek,One
157,general_knowledge,"In the film 'star wars', what species is chewbacca",Wookie
158,science_nature," Fish travel in schools, whales travel in pods or __________",Gams
159,sports,With which sport is Chris Evert Lloyd identified?,Tennis
160,general_knowledge,What is the name given to a pregnant goldfish?,Twit
161,geography,Which 2 Countries Occupy The Iberian Peninsular ,Spain & Portugal 
162,mythology,"His wife was Penelope and his son, Telemachus. He was exiled from his home on Ithaca for angering the gods?",Odysseus
163,general_knowledge,Where did the Ghost of Christmas Present take Scrooge first,His clerk's
164,science_nature,What fish is the fastest?,Sailfish
165,entertainment_music,Which Pioneer Black Singer/Songwriter Dedicated An Oscar To Nelson Mandella,Stevie Wonder
166,general_knowledge,What is the process of splitting atoms called,Fission
167,general_knowledge,What sort of wood was Noah's Ark made from,Gopher wood
168,general_knowledge,What area gets its name from the Greek word for bear,Arctic because great  bear over it
169,general_knowledge,Which UK artist painted The Rakes Progress in the 1700s,William Hogarth
170,general_knowledge,Who wrote the novel Invisible Man in 1952,Ralph Waldo Emerson
171,general_knowledge,Harmatophobia is the fear of what,Sexual Incompetence
172,general_knowledge,What Was The Bon Jovi's First UK Top Ten Hit,You Give Love A Bad Name
173,general_knowledge,From what coast do dalmatian originate,Dalmatian coast
174,general_knowledge,"In transport terms, what is an ACV",Air cushioned vehicle hovercraft
175,general_knowledge,One in four Americans has done what,Appeared on TV
176,general_knowledge,Which Greek hero finally tamed Pegasus,Bellerophon
177,general_knowledge,Who founded the Ballets Russe in 1909,Serge diaghilev
178,general_knowledge,This city was the headquarters of the British East India Company until 1708,Bombay
179,general_knowledge,Which ocean can yoU.S.wim in from the Seychelles,Indian
180,mythology,"What has no reflection, no shadow, and can't stand the smell of garlic",Vampires
181,geography,Over 75% of the Earth's surface is covered by some form of _____.,Water
182,general_knowledge,Which garment traditionally contains eight sections of material,Kimono
183,geography,Which element makes up 2.6% of the Earth's crust,Magnesium
184,geography,"If its 4:00pm in Seattle, Washington what time is it in Portland, Oregon?",4:00pm
185,general_knowledge,What company introduced the first commercial minicomputer 65,DEC
186,general_knowledge,The French call it Gulf de Gascoine what's its English name,Bay of Biscay
187,general_knowledge,"Which Award WinningMovie Ended With The Line ""Hey Can I Try On Your Yellow Dress""",Tootise
188,general_knowledge,Who commanded Bill Jukes Cecco Noodler Skylights Starkey,Captain Hook
189,general_knowledge,What happened to Catherine Eddowes on 30th September 1888,Met Jack the Ripper
190,general_knowledge,In which television series do the characters Doctor Carter and Doctor Benton appear,E r
191,entertainment_music,"Whose Middle Names Are ""Peter George St John De Baptiste De La Salle""",Brian Eno (No Wonder He Changed It)
192,food,What Is An Egg Plant ,An Aubergine 
193,sports,In Which Sport Might You Come Across An Albertross ,Golf 
194,general_knowledge,"Which TV program ""returned control"" to you at its conclusion",Outer limits
195,general_knowledge,"What race's runners refer to the noisy section along wellesley college as the ""screech tunnel""",The boston marathon
196,general_knowledge,Who was the first British monarch to live in Buckingham Palace,Queen victoria
197,art,"Captain Hook, Tiger Lily, and Tinker Bell are characters in what story?",Peter Pan
198,general_knowledge,What did pocahontas do to entertain the colonists,Cartwheels
199,general_knowledge,Which French philosopher and political thinker wrote The Social Contract in 1762,Rousseau
200,food,What food has a name that means twice cooked? ,Biscuit 
201,general_knowledge,Who painted Les Parapluies in about 1883,Pierre auguste renoir
202,entertainment_video_games,Who is the first gym leader you fight in 'Pokémon' for the Game Boy?                                                                 ,Brock
203,entertainment_music,Which Girl Band Had A Hit With The Song “Really Saying Something”?,Bananarama
204,general_knowledge,Cassiterite is the ore what is extracted,Tin
205,general_knowledge,Where in Australia were British satellites launched in early 70s,Woomera
206,general_knowledge,Stadler and Waldorf were critics who appeared in which TV show,The muppets
207,geography,In which country is the Great Victoria Desert?,Australia
208,general_knowledge,What is the offspring of a female horse and a male donkey,Mule
209,general_knowledge,What is tripsophillia,Arousal from massage
210,general_knowledge,Old lady from pasadena,The little old lady from pasadena a little old lady
211,entertainment_music,"Which Musical Contains The Song, “Oh What A Beautiful Morning”",Oklahoma
212,general_knowledge,Hippopotomonstrosesquippedaliophobia is a fear of ____,Long words
213,geography,"What is the capital of the overseas department and administrative region of France, Réunion?",Saint-Denis
214,history,Which houses fought the War of the Roses?,Lancaster and York
